name,home_url,sitemap_url,use_sitemap,active
airworldservice,http://airworldservice.org/urdu-blog,,False,True
asiaexpress,http://asiaexpress.co.in,,False,True
taasir,http://epaper.taasir.com/page.php,,False,True
thewireurdu,http://thewireurdu.com,,False,True
gnsnews,http://urdu.gnsnews.co.in,,False,True
etemaaddaily,http://www.etemaaddaily.com/index.php,,False,True
jadidkhabar,http://www.jadidkhabar.com,,False,True
uniurdu,http://www.uniurdu.com,,False,True
aalmiakhbar,https://aalmiakhbar.com,,False,True
factcrescendo,https://afghanistan.factcrescendo.com,,False,True
alhilalmedia,https://alhilalmedia.com,,False,True
dailyausaf,https://dailyausaf.com,,False,True
dawatnews,https://dawatnews.net,,False,True
etemaaddaily,https://epaper.etemaaddaily.com/epapers,,False,True
harpalonline,https://harpalonline.com,,False,True
hindustanurdutimes,https://hindustanurdutimes.com,,False,True
inquilab,https://inquilab.com,,False,True
jawandost,https://jawandost.com,,False,True
kashmiruzma,https://kashmiruzma.net,,False,True
kawishejameel,https://kawishejameel.com,,False,True
mazameen,https://mazameen.com,,False,True
roznamasahara,https://roznamasahara.com,,False,True
tameelirshad,https://tameelirshad.net,,False,True
tanzil,https://tanzil.net/#19:77,,False,True
atomiyme,https://ur.atomiyme.com,,False,True
birmiss,https://ur.birmiss.com,,False,True
eferrit,https://ur.eferrit.com,,False,True
tierient,https://ur.tierient.com,,False,True
unistica,https://ur.unistica.com,,False,True
unitinal,https://ur.unitinal.com,,False,True
millattimes,https://urdu.millattimes.com,,False,True
munsifdaily,https://urdu.munsifdaily.com,,False,True
news18,https://urdu.news18.com,,False,True
pratilipi,https://urdu.pratilipi.com,,False,True
siasat,https://urdu.siasat.com,,False,True
urdutahzeeb,https://urdutahzeeb.com,,False,True
alhayatindia,https://www.alhayatindia.com,,False,True
baseeratonline,https://www.baseeratonline.com,,False,True
bbc,https://www.bbc.com/urdu,,False,True
dailysalar,https://www.dailysalar.com,,False,True
dw,https://www.dw.com/ur,,False,True
inquilab,https://www.inquilab.com,,False,True
kashmiruzma,https://www.kashmiruzma.net,,False,True
qaumiawaz,https://www.qaumiawaz.com,,False,True
rakshaknews,https://www.rakshaknews.in/ur,,False,True
sahilonline,https://www.sahilonline.net/ur,,False,True
taemeernews,https://www.taemeernews.com,,False,True
trt,https://www.trt.net.tr/urdu,,False,True
urdunews,https://www.urdunews.com,,False,True
urdutimesdaily,https://www.urdutimesdaily.com,,False,True
urduvoa,https://www.urduvoa.com,,False,True
